user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
2421176,NV,38.3,Female,Caucasian,Republican,FALSE,TRUE,2279,84146,12846,8,1
952951,NY,61.2,Female,Caucasian,Republican,TRUE,TRUE,2284,131856,13936,464,150
1654615,NY,58.7,Male,Caucasian,Republican,TRUE,TRUE,4293,477410,86638,834,145
958553,NY,60.1,Female,Caucasian,Republican,FALSE,FALSE,565,28926,4070,72,9
16888,NY,50.2,Female,Caucasian,Democrat,FALSE,FALSE,1180,1896,3,82,6
1542043,NY,36.7,Male,Caucasian,Independent,FALSE,FALSE,2039,1389,20,58,6
3159240,NY,62.5,Female,Caucasian,Democrat,TRUE,FALSE,11817,16101,1332,437,6
3080323,NY,64.6,Male,Caucasian,Independent,FALSE,FALSE,1867,38130,1809,159,5
1214126,NY,59.9,Male,Caucasian,Independent,FALSE,FALSE,9819,10372,73,116,2
1308423,NY,47.9,Male,Caucasian,Democrat,FALSE,TRUE,1357,369255,16766,245,2
1411376,NY,51.3,Female,Caucasian,Democrat,FALSE,FALSE,5589,6198,16,125,2
1609554,NY,41.3,Male,Caucasian,Democrat,FALSE,FALSE,1097,69,0,4,2
2090744,NY,39,Male,Caucasian,Democrat,FALSE,FALSE,3458,38828,118,297,2
2123439,NY,43.2,Male,Caucasian,Republican,FALSE,FALSE,1389,1308,98,6,2
94420,NY,50.1,Male,Caucasian,Democrat,FALSE,FALSE,5139,12969,731,24,1
632308,NY,43.2,Male,Caucasian,Republican,FALSE,FALSE,5,532,11,2,1
1729268,NY,36.6,Female,Caucasian,Democrat,FALSE,FALSE,411,1843,2,6,1
2635107,NY,64.8,Female,Caucasian,Democrat,FALSE,FALSE,4534,42363,288,142,1
3161093,NY,55.8,Female,Other,Democrat,FALSE,FALSE,607,4041,4,11,1
3375408,NY,29.6,Female,Caucasian,Independent,FALSE,FALSE,101,5793,317,6,1
3447562,NY,56.2,Male,Caucasian,Republican,FALSE,FALSE,47,1646,207,4,1
385609,OH,52,Female,Caucasian,No Party/No Info,TRUE,FALSE,6598,4052,715,899,171
3330034,OH,48.7,Female,Caucasian,No Party/No Info,TRUE,TRUE,7271,71313,3053,395,19
2227421,OH,71.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,516,1458,21,53,10
1971974,OH,39.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,627,1453,122,26,5
172263,OH,33.1,Male,Other,No Party/No Info,FALSE,FALSE,111,390,1,2,1
696845,OH,47,Female,Caucasian,No Party/No Info,FALSE,FALSE,250,21876,18,30,1
2032795,OH,34.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,3319,1048,21,10,1
2138112,OH,65.8,Male,African-American,No Party/No Info,FALSE,FALSE,1038,2035,24,23,1
2645137,OH,51.7,Male,Caucasian,No Party/No Info,FALSE,TRUE,2776,54264,1018,339,1
